example_id                                                      | status  | run_time        |
./spec/models/client_enrollment_tracking_spec.rb[2:1:1]         | passed  | 2.21 seconds    |
./spec/models/client_enrollment_tracking_spec.rb[2:1:2]         | pending | 0.00011 seconds |
./spec/models/client_enrollment_tracking_spec.rb[3:1:1]         | passed  | 0.27735 seconds |
./spec/models/client_enrollment_tracking_spec.rb[3:2:1]         | passed  | 0.25796 seconds |
./spec/models/client_enrollment_tracking_spec.rb[3:3:1]         | passed  | 0.2256 seconds  |
./spec/models/client_enrollment_tracking_spec.rb[3:3:2]         | passed  | 0.22896 seconds |
./spec/models/client_enrollment_tracking_spec.rb[4:1:1:1:1]     | pending | 0.00012 seconds |
./spec/models/client_enrollment_tracking_spec.rb[4:1:1:1:2]     | pending | 0.0001 seconds  |
./spec/models/client_quantitative_case_spec.rb[1:1]             | pending | 0.00001 seconds |
./spec/models/client_right_government_form_spec.rb[1:1]         | passed  | 0.00832 seconds |
./spec/models/client_right_government_form_spec.rb[1:2]         | passed  | 0.01305 seconds |
./spec/models/client_right_government_form_spec.rb[2:1:1]       | passed  | 0.13925 seconds |
./spec/models/client_right_spec.rb[1:1]                         | passed  | 0.00602 seconds |
./spec/models/client_right_spec.rb[1:2]                         | passed  | 0.02444 seconds |
./spec/models/client_right_spec.rb[2:1]                         | passed  | 0.00543 seconds |
./spec/models/client_right_spec.rb[2:2]                         | passed  | 0.00542 seconds |
./spec/models/client_spec.rb[1:1]                               | passed  | 0.00513 seconds |
./spec/models/client_spec.rb[1:2]                               | passed  | 0.00429 seconds |
./spec/models/client_spec.rb[1:3]                               | passed  | 0.00486 seconds |
./spec/models/client_spec.rb[1:4]                               | passed  | 0.00507 seconds |
./spec/models/client_spec.rb[1:5]                               | passed  | 0.0046 seconds  |
./spec/models/client_spec.rb[1:6]                               | passed  | 0.0044 seconds  |
./spec/models/client_spec.rb[1:7]                               | passed  | 0.00437 seconds |
./spec/models/client_spec.rb[1:8]                               | passed  | 0.00525 seconds |
./spec/models/client_spec.rb[1:9]                               | passed  | 0.00577 seconds |
./spec/models/client_spec.rb[1:10]                              | passed  | 0.00517 seconds |
./spec/models/client_spec.rb[1:11]                              | passed  | 0.02807 seconds |
./spec/models/client_spec.rb[1:12]                              | passed  | 0.00497 seconds |
./spec/models/client_spec.rb[1:13]                              | passed  | 0.00633 seconds |
./spec/models/client_spec.rb[1:14]                              | passed  | 0.00776 seconds |
./spec/models/client_spec.rb[1:15]                              | passed  | 0.00573 seconds |
./spec/models/client_spec.rb[1:16]                              | passed  | 0.00463 seconds |
./spec/models/client_spec.rb[1:17]                              | passed  | 0.00656 seconds |
./spec/models/client_spec.rb[1:18]                              | passed  | 0.00519 seconds |
./spec/models/client_spec.rb[1:19]                              | passed  | 0.00496 seconds |
./spec/models/client_spec.rb[1:20]                              | passed  | 0.0047 seconds  |
./spec/models/client_spec.rb[1:21]                              | passed  | 0.00568 seconds |
./spec/models/client_spec.rb[1:22]                              | passed  | 0.00625 seconds |
./spec/models/client_spec.rb[1:23]                              | passed  | 0.00694 seconds |
./spec/models/client_spec.rb[1:24]                              | passed  | 0.0046 seconds  |
./spec/models/client_spec.rb[2:1:1]                             | pending | 0.00001 seconds |
./spec/models/client_spec.rb[2:2:1]                             | pending | 0.00001 seconds |
./spec/models/client_spec.rb[2:2:2]                             | pending | 0.00001 seconds |
./spec/models/client_spec.rb[2:3:1:1]                           | pending | 0.00002 seconds |
./spec/models/client_spec.rb[2:4:1:1:1]                         | pending | 0.00001 seconds |
./spec/models/client_spec.rb[2:4:1:1:2]                         | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:1:1]                             | passed  | 0.52967 seconds |
./spec/models/client_spec.rb[3:2:1]                             | passed  | 0.45907 seconds |
./spec/models/client_spec.rb[3:3:1]                             | passed  | 0.54737 seconds |
./spec/models/client_spec.rb[3:4:1:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:4:2:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:4:3:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:4:4:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:4:5:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:4:6:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:4:7:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:4:8:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:4:9:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:4:10:1]                          | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:5:1]                             | passed  | 0.45935 seconds |
./spec/models/client_spec.rb[3:5:2]                             | passed  | 0.48821 seconds |
./spec/models/client_spec.rb[3:6:1]                             | passed  | 0.52567 seconds |
./spec/models/client_spec.rb[3:6:2]                             | passed  | 0.49591 seconds |
./spec/models/client_spec.rb[3:6:3]                             | passed  | 0.5131 seconds  |
./spec/models/client_spec.rb[3:7:1]                             | passed  | 0.49232 seconds |
./spec/models/client_spec.rb[3:7:2]                             | passed  | 0.52373 seconds |
./spec/models/client_spec.rb[3:8:1:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:8:2:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:8:3:1]                           | pending | 0.00001 seconds |
./spec/models/client_spec.rb[3:9:1:1]                           | passed  | 0.5716 seconds  |
./spec/models/client_spec.rb[3:9:1:2]                           | passed  | 0.50135 seconds |
./spec/models/client_spec.rb[3:9:2:1]                           | passed  | 0.53031 seconds |
./spec/models/client_spec.rb[3:9:2:2]                           | passed  | 0.53201 seconds |
./spec/models/client_spec.rb[3:10:1]                            | passed  | 0.68513 seconds |
./spec/models/client_spec.rb[3:10:2]                            | passed  | 0.69516 seconds |
./spec/models/client_spec.rb[3:10:3]                            | passed  | 0.70043 seconds |
./spec/models/client_spec.rb[3:10:4]                            | passed  | 0.62959 seconds |
./spec/models/client_spec.rb[3:10:5:1]                          | passed  | 0.67441 seconds |
./spec/models/client_spec.rb[3:10:6:1]                          | passed  | 0.6791 seconds  |
./spec/models/client_spec.rb[3:11:1]                            | passed  | 0.5693 seconds  |
./spec/models/client_spec.rb[3:11:2]                            | passed  | 0.62183 seconds |
./spec/models/client_spec.rb[3:12:1]                            | passed  | 0.5696 seconds  |
./spec/models/client_spec.rb[3:12:2]                            | passed  | 0.62312 seconds |
./spec/models/client_spec.rb[3:13:1]                            | passed  | 0.58432 seconds |
./spec/models/client_spec.rb[3:13:2]                            | passed  | 0.54783 seconds |
./spec/models/client_spec.rb[3:14:1]                            | passed  | 0.51148 seconds |
./spec/models/client_spec.rb[3:15:1]                            | passed  | 0.48353 seconds |
./spec/models/client_spec.rb[3:16:1:1]                          | passed  | 0.55663 seconds |
./spec/models/client_spec.rb[3:16:1:2]                          | passed  | 0.55129 seconds |
./spec/models/client_spec.rb[3:16:2:1]                          | passed  | 0.5227 seconds  |
./spec/models/client_spec.rb[3:16:2:2]                          | passed  | 0.54708 seconds |
./spec/models/client_spec.rb[3:17:1:1]                          | passed  | 0.51008 seconds |
./spec/models/client_spec.rb[3:17:2:1]                          | passed  | 0.58804 seconds |
./spec/models/client_spec.rb[3:17:3:1]                          | passed  | 0.55302 seconds |
./spec/models/client_spec.rb[3:17:4:1]                          | passed  | 0.52283 seconds |
./spec/models/client_spec.rb[3:18:1:1]                          | passed  | 0.56245 seconds |
./spec/models/client_spec.rb[3:18:2:1]                          | passed  | 0.5782 seconds  |
./spec/models/client_spec.rb[3:18:3:1]                          | passed  | 0.59784 seconds |
./spec/models/client_spec.rb[3:18:4:1]                          | passed  | 0.65045 seconds |
./spec/models/client_spec.rb[4:1:1]                             | passed  | 0.39087 seconds |
./spec/models/client_spec.rb[4:2:1]                             | passed  | 0.36803 seconds |
